Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Odisseas Vlachodimos,gr GRE,GK,27,32,32,2880,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,03df04ff
Jan Vertonghen,be BEL,DF,34,28,28,2480,27.6,0,2,2,0,0,0,6,0,1.5,1.5,0.7,2.2,24,155,3,0,0.07,0.07,0,0.07,0.06,0.03,0.08,0.06,0.08,Matches,ba23a904
Nicolás Otamendi,ar ARG,DF,33,28,28,2470,27.4,0,1,1,0,0,0,7,0,2,2,0.8,2.7,23,153,8,0,0.04,0.04,0,0.04,0.07,0.03,0.1,0.07,0.1,Matches,0d267745
Julian Weigl,de GER,MF,25,29,27,2413,26.8,2,3,5,2,0,0,9,0,1.5,1.5,1.7,3.2,16,177,19,0.07,0.11,0.19,0.07,0.19,0.06,0.06,0.12,0.06,0.12,Matches,346d51d9
Álex Grimaldo,es ESP,DFMF,25,29,27,2323,25.8,5,5,10,5,0,0,4,0,2.7,2.7,6.8,9.5,72,150,239,0.19,0.19,0.39,0.19,0.39,0.11,0.26,0.37,0.11,0.37,Matches,b1f4086c
Darwin Núñez,uy URU,FWMF,22,28,24,1976,22,26,4,30,22,4,4,6,0,18.4,15.2,5.5,20.7,85,38,222,1.18,0.18,1.37,1,1.18,0.84,0.25,1.09,0.69,0.94,Matches,4d77b365
Rafa Silva,pt POR,MFFW,28,28,22,2036,22.6,8,14,22,8,0,0,4,0,8.3,8.3,10,18.3,112,134,211,0.35,0.62,0.97,0.35,0.97,0.37,0.44,0.81,0.37,0.81,Matches,70cf63ca
João Mário,pt POR,MF,28,28,20,1734,19.3,3,3,6,3,0,0,2,0,3.2,3.2,4,7.1,52,178,95,0.16,0.16,0.31,0.16,0.31,0.17,0.21,0.37,0.17,0.37,Matches,f0021247
Everton Soares,br BRA,MFFW,25,27,20,1602,17.8,3,5,8,3,0,0,5,0,3,3,5.1,8.2,63,102,156,0.17,0.28,0.45,0.17,0.45,0.17,0.29,0.46,0.17,0.46,Matches,b1cbc666
Gonçalo Ramos,pt POR,FWMF,20,29,17,1609,17.9,7,1,8,7,0,0,4,0,8.6,8.6,2.5,11.1,28,53,127,0.39,0.06,0.45,0.39,0.45,0.48,0.14,0.62,0.48,0.62,Matches,f63cda26
Gilberto,br BRA,DFMF,28,21,16,1348,15,2,3,5,2,0,0,5,0,1.1,1.1,1.5,2.6,59,93,100,0.13,0.2,0.33,0.13,0.33,0.07,0.1,0.17,0.07,0.17,Matches,1338e42b
Roman Yaremchuk,ua UKR,FW,25,23,13,1068,11.9,6,3,9,6,0,0,2,0,6.9,6.9,3.2,10,21,31,94,0.51,0.25,0.76,0.51,0.76,0.58,0.27,0.85,0.58,0.85,Matches,cb641b9d
Valentino Lazaro,at AUT,DFMF,25,18,10,1028,11.4,0,1,1,0,0,0,2,0,0.6,0.6,1,1.6,40,66,93,0,0.09,0.09,0,0.09,0.05,0.09,0.14,0.05,0.14,Matches,016ff750
